DATE,T10Y3M
1/1/1982,1.06
2/1/1982,1.03
3/1/1982,0.19
4/1/1982,0.72
5/1/1982,1.74
6/1/1982,1.08
7/1/1982,3.11
8/1/1982,4.09
9/1/1982,3.85
10/1/1982,2.54
11/1/1982,2.23
12/1/1982,2.16
1/1/1983,2.44
2/1/1983,2.06
3/1/1983,1.66
4/1/1983,1.89
5/1/1983,1.84
6/1/1983,1.81
7/1/1983,2.17
8/1/1983,2.34
9/1/1983,2.4
10/1/1983,2.91
11/1/1983,2.39
12/1/1983,2.49
1/1/1984,2.41
2/1/1984,2.55
3/1/1984,2.44
4/1/1984,2.72
5/1/1984,3.78
6/1/1984,3.53
7/1/1984,2.08
8/1/1984,1.73
9/1/1984,1.84
10/1/1984,2.44
11/1/1984,2.84
12/1/1984,3.43
1/1/1985,2.84
2/1/1985,3.1
3/1/1985,3.18
4/1/1985,3.29
5/1/1985,2.9
6/1/1985,3.2
7/1/1985,3.05
8/1/1985,2.9
9/1/1985,3.04
10/1/1985,2.59
11/1/1985,2.2
12/1/1985,1.72
1/1/1986,1.89
2/1/1986,0.89
3/1/1986,0.86
4/1/1986,1.1
5/1/1986,1.56
6/1/1986,1.22
7/1/1986,1.38
8/1/1986,1.64
9/1/1986,2.11
10/1/1986,2
11/1/1986,1.61
12/1/1986,1.4
1/1/1987,1.42
2/1/1987,1.59
3/1/1987,1.72
4/1/1987,2.51
5/1/1987,2.62
6/1/1987,2.47
7/1/1987,2.39
8/1/1987,2.55
9/1/1987,2.8
10/1/1987,3.43
11/1/1987,3.57
12/1/1987,2.97
1/1/1988,2.44
2/1/1988,2.36
3/1/1988,2.7
4/1/1988,2.71
5/1/1988,2.53
6/1/1988,2.05
7/1/1988,1.94
8/1/1988,1.71
9/1/1988,1.38
10/1/1988,1.03
11/1/1988,0.96
12/1/1988,0.77
1/1/1989,0.32
2/1/1989,0.29
3/1/1989,0.07
4/1/1989,0.31
5/1/1989,-0.32
6/1/1989,-0.16
7/1/1989,-0.22
8/1/1989,0.1
9/1/1989,0.13
10/1/1989,-0.12
11/1/1989,0
12/1/1989,0.13
1/1/1990,0.43
2/1/1990,0.47
3/1/1990,0.58
4/1/1990,0.97
5/1/1990,0.59
6/1/1990,0.43
7/1/1990,0.62
8/1/1990,1.23
9/1/1990,1.45
10/1/1990,1.31
11/1/1990,1.02
12/1/1990,1.45
1/1/1991,1.66
2/1/1991,1.8
3/1/1991,2.13
4/1/1991,2.34
5/1/1991,2.35
6/1/1991,2.53
7/1/1991,2.5
8/1/1991,2.33
9/1/1991,2.21
10/1/1991,2.51
11/1/1991,2.91
12/1/1991,2.75
1/1/1992,3.37
2/1/1992,3.24
3/1/1992,3.39
4/1/1992,3.82
5/1/1992,3.54
6/1/1992,3.49
7/1/1992,3.47
8/1/1992,3.39
9/1/1992,3.62
10/1/1992,3.77
11/1/1992,3.57
12/1/1992,3.55
1/1/1993,3.43
2/1/1993,3.02
3/1/1993,3.08
4/1/1993,3.08
5/1/1993,3.03
6/1/1993,2.7
7/1/1993,2.73
8/1/1993,2.37
9/1/1993,2.42
10/1/1993,2.33
11/1/1993,2.62
12/1/1993,2.76
1/1/1994,2.65
2/1/1994,2.68
3/1/1994,3.21
4/1/1994,3.09
5/1/1994,2.86
6/1/1994,3.08
7/1/1994,2.73
8/1/1994,2.51
9/1/1994,2.82
10/1/1994,2.61
11/1/1994,2.19
12/1/1994,2.16
1/1/1995,1.6
2/1/1995,1.28
3/1/1995,1.32
4/1/1995,1.2
5/1/1995,0.49
6/1/1995,0.61
7/1/1995,0.85
8/1/1995,0.83
9/1/1995,0.77
10/1/1995,0.55
11/1/1995,0.28
12/1/1995,0.48
1/1/1996,0.55
2/1/1996,1.11
3/1/1996,1.21
4/1/1996,1.52
5/1/1996,1.67
6/1/1996,1.55
7/1/1996,1.48
8/1/1996,1.67
9/1/1996,1.58
10/1/1996,1.2
11/1/1996,0.93
12/1/1996,1.22
1/1/1997,1.38
2/1/1997,1.34
3/1/1997,1.57
4/1/1997,1.44
5/1/1997,1.71
6/1/1997,1.26
7/1/1997,0.77
8/1/1997,1.1
9/1/1997,1.06
10/1/1997,0.63
11/1/1997,0.64
12/1/1997,0.39
1/1/1998,0.34
2/1/1998,0.3
3/1/1998,0.51
4/1/1998,0.68
5/1/1998,0.53
6/1/1998,0.34
7/1/1998,0.4
8/1/1998,0.09
9/1/1998,0.07
10/1/1998,0.31
11/1/1998,0.17
12/1/1998,0.17
1/1/1999,0.18
2/1/1999,0.63
3/1/1999,0.76
4/1/1999,0.81
5/1/1999,0.98
6/1/1999,1.03
7/1/1999,1.17
8/1/1999,1
9/1/1999,1.02
10/1/1999,0.9
11/1/1999,0.88
12/1/1999,1.12
1/1/2000,0.92
2/1/2000,0.64
3/1/2000,0.15
