,IncomeGrowth,M3 Growth
2/1/1960,0.001142535,0.000670466
3/1/1960,0.001908763,0.003011547
4/1/1960,0.003418743,0.002669338
5/1/1960,0.002400538,0.002662231
6/1/1960,0.000788536,0.004641918
7/1/1960,0.001828968,0.005936693
8/1/1960,-0.001627268,0.009165367
9/1/1960,0.001272997,0.00487568
10/1/1960,0.002951398,0.00356045
11/1/1960,-0.004240327,0.004513225
12/1/1960,-0.004630759,0.004813101
1/1/1961,0.008982135,0.005426989
2/1/1961,0.003816941,0.007611835
3/1/1961,0.004064264,0.005671093
4/1/1961,0.002169606,0.005014113
5/1/1961,0.007747966,0.007164024
6/1/1961,0.009371443,0.006496543
7/1/1961,0.002845983,0.004000621
8/1/1961,0.000550664,0.006123718
9/1/1961,0.001224487,0.005783002
10/1/1961,0.00986217,0.004844091
11/1/1961,0.008908065,0.006922526
12/1/1961,0.005942342,0.006278986
1/1/1962,-0.000955183,0.005943554
2/1/1962,0.004195854,0.007674182
3/1/1962,0.006868176,0.008782258
4/1/1962,0.005109998,0.006970693
5/1/1962,0.001394903,0.005772022
6/1/1962,0.001414148,0.005166487
7/1/1962,0.004801063,0.004285109
8/1/1962,0.001628074,0.005685064
9/1/1962,0.000441291,0.005934736
10/1/1962,0.005333927,0.006459789
11/1/1962,0.003597242,0.007252473
12/1/1962,0.004719287,0.008027725
1/1/1963,0.006157004,0.006869102
2/1/1963,-0.00528731,0.007366013
3/1/1963,0.00446665,0.007581948
4/1/1963,0.002736757,0.006989276
5/1/1963,0.004300188,0.00747268
6/1/1963,0.004703481,0.006096772
7/1/1963,0.000554624,0.007109971
8/1/1963,0.003509052,0.006538535
9/1/1963,0.006798011,0.006237026
10/1/1963,0.005462974,0.005940867
11/1/1963,0.002084368,0.008207279
12/1/1963,0.007888757,0.004332873
1/1/1964,0.003590231,0.005073578
2/1/1964,0.004091698,0.006054509
3/1/1964,0.005078052,0.005517947
4/1/1964,0.00604838,0.004741119
5/1/1964,0.005992956,0.006204264
6/1/1964,0.003533876,0.007149051
7/1/1964,0.005435163,0.007342177
8/1/1964,0.005568068,0.008014615
9/1/1964,0.004148622,0.008430738
10/1/1964,0.000530789,0.00526317
11/1/1964,0.006722327,0.006895759
12/1/1964,0.009861589,0.006377723
1/1/1965,0.006247613,0.006571251
2/1/1965,0.000586877,0.00676072
3/1/1965,0.004783895,0.006484506
4/1/1965,0.004132376,0.005065634
5/1/1965,0.005492717,0.003896853
6/1/1965,0.002890169,0.006839972
7/1/1965,0.0066982,0.006342037
8/1/1965,0.00417821,0.00652641
9/1/1965,0.024198548,0.008265433
10/1/1965,-0.004334711,0.006872879
11/1/1965,0.007444539,0.006825965
12/1/1965,0.005291463,0.007651147
1/1/1966,0.002432779,0.006079046
2/1/1966,0.004957607,0.005611929
3/1/1966,0.005356634,0.005580611
4/1/1966,-0.000846268,0.004484791
5/1/1966,0.003281546,0.001703215
6/1/1966,0.004857193,0.002337194
7/1/1966,0.004059274,-0.000636875
8/1/1966,0.004990653,0.003603608
9/1/1966,0.006001646,0.00590719
10/1/1966,0.004130413,0.000630849
11/1/1966,0.006162815,0.003357821
12/1/1966,-0.000265682,0.00605746
1/1/1967,0.009286041,0.00291121
2/1/1967,0.001216493,0.007241161
3/1/1967,0.005997116,0.009437903
4/1/1967,-0.000743702,0.004888989
5/1/1967,0.001781117,0.010310412
6/1/1967,0.003960949,0.00960776
7/1/1967,0.005126607,0.008529259
8/1/1967,0.004667307,0.008848745
9/1/1967,0.000785739,0.007606083
10/1/1967,0.001337601,0.006777061
11/1/1967,0.006285383,0.005772577
12/1/1967,0.002816046,0.006883392
1/1/1968,0.005436427,0.004942036
2/1/1968,0.007602793,0.005672165
3/1/1968,0.008467875,0.005265149
4/1/1968,0.004475993,0.004677715
5/1/1968,0.005226576,0.005955722
6/1/1968,0.004670985,0.006842375
7/1/1968,0.006046456,0.005513706
8/1/1968,0.004606016,0.006940667
9/1/1968,0.004678275,0.007615631
10/1/1968,0.001683162,0.007199455
11/1/1968,0.00449847,0.008571481
12/1/1968,0.004067367,0.007793167
1/1/1969,0.000918168,0.004401028
2/1/1969,0.004693252,0.004556615
3/1/1969,0.004498471,0.004361867
4/1/1969,0.002391827,0.002260674
5/1/1969,0.003888905,0.001388648
6/1/1969,0.003427913,0.003463207
7/1/1969,0.005508827,0.001727116
8/1/1969,0.006178008,0.00103484
9/1/1969,0.002611721,0.003441752
10/1/1969,0.001850335,0.002230803
11/1/1969,0.001003113,0.003422317
12/1/1969,0.002053549,0.004261491
1/1/1970,0.001792514,0.002887475
2/1/1970,0.002469465,-0.005612737
3/1/1970,0.003863055,0.001704159
4/1/1970,0.009886978,0.001871226
5/1/1970,-0.00576055,0.005254695
6/1/1970,0.003118382,0.0062358
7/1/1970,0.005597932,0.006531046
8/1/1970,0.002541823,0.009634626
9/1/1970,-0.000696947,0.010361083
10/1/1970,-0.00343328,0.008471866
11/1/1970,-0.001035589,0.007595996
12/1/1970,0.003426741,0.008656675
1/1/1971,0.008593838,0.010163657
2/1/1971,0.001961722,0.012717025
3/1/1971,0.00312736,0.013789048
4/1/1971,0.002684954,0.012994144
5/1/1971,0.003805729,0.01252752
6/1/1971,0.018581671,0.00940516
7/1/1971,-0.012571571,0.00975906
8/1/1971,0.003437253,0.008644109
9/1/1971,0.005869127,0.010159739
10/1/1971,0.002759154,0.008483766
11/1/1971,0.005093976,0.008838261
12/1/1971,0.005209147,0.00805715
1/1/1972,0.004806868,0.010364238
2/1/1972,0.008130134,0.011085052
3/1/1972,0.006306042,0.010690891
4/1/1972,0.00130775,0.006658086
5/1/1972,0.004267605,0.006614049
6/1/1972,0.002754691,0.008573395
7/1/1972,0.006055384,0.012987196
8/1/1972,0.009222427,0.012040454
9/1/1972,0.003806139,0.012411278
10/1/1972,0.0228162,0.010989122
11/1/1972,0.0101103,0.008856333
12/1/1972,0.003679647,0.010525094
1/1/1973,-0.003983196,0.009921947
2/1/1973,0.00364095,0.004678659
3/1/1973,0.001229645,0.001472935
4/1/1973,0.001919021,0.005382276
5/1/1973,0.004369507,0.008624408
6/1/1973,0.002780544,0.007830894
7/1/1973,0.002940814,0.003832799
8/1/1973,-0.002932057,0.002745779
9/1/1973,0.005896996,0.000595912
10/1/1973,0.00870026,0.003924138
11/1/1973,0.002280556,0.007449044
12/1/1973,-0.002653138,0.0077447
1/1/1974,-0.0085644,0.004897398
2/1/1974,-0.006028533,0.005220732
3/1/1974,-0.006566097,0.006803924
4/1/1974,-0.000595146,0.003212854
5/1/1974,0.000901612,0.001945637
6/1/1974,-0.000652506,0.003652138
7/1/1974,0.00393042,0.004092775
8/1/1974,-0.001677426,0.003058626
9/1/1974,-0.001043844,0.004288946
10/1/1974,0.003204378,0.006063347
11/1/1974,-0.005968409,0.005915526
12/1/1974,-0.000587019,0.003887382
1/1/1975,-0.000954272,0.004644998
2/1/1975,-0.000477899,0.008569598
3/1/1975,0.000741826,0.011853763
4/1/1975,0.001188597,0.010859738
5/1/1975,0.006127845,0.013595536
6/1/1975,0.017278386,0.0158044
7/1/1975,-0.011113264,0.012486618
8/1/1975,0.007459123,0.008170815
9/1/1975,0.002345538,0.008508104
10/1/1975,0.00468549,0.006333907
11/1/1975,-5.57068E-05,0.009078727
12/1/1975,0.00145964,0.009193876
1/1/1976,0.006526496,0.010182191
2/1/1976,0.005838395,0.013256762
3/1/1976,0.002634622,0.009281031
4/1/1976,0.003838421,0.010233176
5/1/1976,0.001104015,0.010596001
6/1/1976,0.001514832,0.005117004
7/1/1976,0.006147103,0.00804108
8/1/1976,0.002829145,0.011350236
9/1/1976,0.000840981,0.010952814
10/1/1976,-0.00033028,0.012702559
11/1/1976,0.008748789,0.011665032
12/1/1976,0.003072309,0.012051495
1/1/1977,-0.004869433,0.011393184
2/1/1977,0.003243884,0.010585723
3/1/1977,0.004407885,0.009213539
4/1/1977,0.00430313,0.00929616
5/1/1977,0.002488712,0.007805404
6/1/1977,0.001558821,0.007252381
7/1/1977,0.005511787,0.007281685
8/1/1977,0.003920421,0.008361456
9/1/1977,0.006235575,0.007409828
10/1/1977,0.008610148,0.006239521
11/1/1977,0.007841249,0.006676229
12/1/1977,0.004432525,0.006238422
1/1/1978,-0.00353556,0.007372582
2/1/1978,0.004483809,0.004522072
3/1/1978,0.00566308,0.005198444
4/1/1978,0.005706116,0.006325717
5/1/1978,0.001154911,0.007736834
6/1/1978,0.003643546,0.006085983
7/1/1978,0.005461645,0.004238257
8/1/1978,0.004530149,0.007074081
9/1/1978,0.001304499,0.008586948
10/1/1978,0.003675195,0.005412833
11/1/1978,0.001707746,0.005015869
12/1/1978,0.005670259,0.005064045
1/1/1979,0.003404005,0.00409118
2/1/1979,0.003962751,0.004510083
3/1/1979,0.003052441,0.007231735
4/1/1979,-0.008001172,0.010251353
5/1/1979,-0.003488989,0.005760426
6/1/1979,-0.000537531,0.009035781
7/1/1979,0.007498023,0.008258148
8/1/1979,0.001528572,0.008190509
9/1/1979,-0.000121052,0.005171177
10/1/1979,-3.86897E-05,0.004323218
11/1/1979,0.003106096,0.003759018
12/1/1979,0.002424331,0.005306857
1/1/1980,0.001289302,0.006088505
2/1/1980,-0.004671954,0.007993862
3/1/1980,-0.005327758,0.003473153
4/1/1980,-0.001200545,0.001598934
5/1/1980,-0.00306714,0.006700971
6/1/1980,0.002466327,0.011113052
7/1/1980,0.007536281,0.01060276
8/1/1980,0.002193762,0.010299415
9/1/1980,0.004417485,0.007973252
10/1/1980,0.008693491,0.006838066
11/1/1980,0.002517805,0.006916961
12/1/1980,0.004957395,0.002503444
1/1/1981,-0.003118966,0.004428236
2/1/1981,-0.002685036,0.007316501
3/1/1981,0.003281411,0.010997561
4/1/1981,-0.001748641,0.013714639
5/1/1981,0.003064775,0.003008969
6/1/1981,0.00555784,0.003658724
7/1/1981,0.014905792,0.006920856
8/1/1981,0.003848915,0.007345569
9/1/1981,-0.001377712,0.006881773
10/1/1981,-0.003658051,0.009218806
11/1/1981,0.001226408,0.008270963
12/1/1981,-0.000580599,0.011112498
1/1/1982,-0.002236851,0.008451793
2/1/1982,0.004219117,0.002313183
3/1/1982,-0.000720184,0.006739705
4/1/1982,0.006872679,0.009692589
5/1/1982,-8.8004E-05,0.006354841
6/1/1982,-0.003451626,0.005821953
7/1/1982,-4.92511E-06,0.003007521
8/1/1982,0.001841319,0.007452369
9/1/1982,-0.000545323,0.00712823
10/1/1982,-0.000783405,0.006062088
11/1/1982,0.003708659,0.007459938
12/1/1982,0.004984778,0.01171641
1/1/1983,-0.001306166,0.027683966
2/1/1983,0.000594949,0.018907595
3/1/1983,0.004706837,0.009172547
4/1/1983,0.000743553,0.006627454
5/1/1983,0.005072142,0.007122362
6/1/1983,0.001364124,0.005077392
7/1/1983,0.002871692,0.005487715
8/1/1983,-0.00140258,0.00444574
9/1/1983,0.006901232,0.004426063
10/1/1983,0.00960728,0.007651147
11/1/1983,0.008073163,0.006221081
12/1/1983,0.008936408,0.00528827
1/1/1984,0.003566123,0.006898683
2/1/1984,0.005778211,0.009310187
