date,p,t,pi,y
1/1/1959,16.702999,1959Q1,,
4/1/1959,16.792,1959Q2,2.1257122,
7/1/1959,16.903999,1959Q3,2.6590676,.53335547
10/1/1959,17.002001,1959Q4,2.3123164,-.34675121
1/1/1960,17.055,1960Q1,1.2449608,-1.0673556
4/1/1960,17.120001,1960Q2,1.5215944,.27663362
7/1/1960,17.187,1960Q3,1.5623522,.040757775
10/1/1960,17.243,1960Q4,1.3011863,-.26116586
1/1/1961,17.273001,1961Q1,.69534576,-.60584056
4/1/1961,17.329,1961Q2,1.2947183,.59937251
7/1/1961,17.405001,1961Q3,1.7504539,.45573568
10/1/1961,17.447001,1961Q4,.96407288,-.78638107
1/1/1962,17.511,1962Q1,1.4645975,.50052458
4/1/1962,17.577999,1962Q2,1.5275333,.062935829
7/1/1962,17.636,1962Q3,1.3176718,-.20986152
10/1/1962,17.669001,1962Q4,.74779111,-.56988066
1/1/1963,17.728001,1963Q1,1.3334478,.5856567
4/1/1963,17.795,1963Q2,1.5088706,.17542279
7/1/1963,17.863001,1963Q3,1.5256239,.016753316
10/1/1963,17.950001,1963Q4,1.9434297,.41780579
1/1/1964,18.025999,1964Q1,1.6899804,-.25344932
4/1/1964,18.079,1964Q2,1.1743846,-.51559579
7/1/1964,18.129,1964Q3,1.1047121,-.069672465
10/1/1964,18.174999,1964Q4,1.0136526,-.091059566
1/1/1965,18.243999,1965Q1,1.5156996,.50204706
4/1/1965,18.301001,1965Q2,1.2478021,-.26789749
7/1/1965,18.358,1965Q3,1.2438802,-.0039219856
10/1/1965,18.419001,1965Q4,1.3269354,.083055258
1/1/1966,18.511,1966Q1,1.9929433,.66600788
4/1/1966,18.660999,1966Q2,3.2282457,1.2353024
7/1/1966,18.815001,1966Q3,3.2874823,.059236526
10/1/1966,18.978001,1966Q4,3.450398,.16291571
1/1/1967,19.082001,1967Q1,2.1860294,-1.2643685
4/1/1967,19.209999,1967Q2,2.6741633,.48813391
7/1/1967,19.385,1967Q3,3.6274614,.95329809
10/1/1967,19.58,1967Q4,4.0036201,.37615871
1/1/1968,19.802999,1968Q1,4.5299129,.5262928
