part,kidslt6,age,educ,nwifeinc
1,1,32,12,10.91006
1,0,30,12,19.49998
1,1,35,12,12.03991
1,0,34,12,6.799996
1,1,31,14,20.10006
1,0,54,12,9.859054
1,0,37,16,9.152048
1,0,54,12,10.90004
1,0,48,12,17.305
1,0,39,12,12.925
1,0,33,12,24.29995
1,0,42,11,19.70007
1,1,30,12,15.00001
1,0,43,12,14.6
1,0,43,10,24.63091
1,0,35,11,17.53103
1,0,43,12,14.09998
1,0,39,12,15.839
1,0,45,12,14.1
1,0,35,12,10.29996
1,0,42,16,22.65498
1,0,30,12,8.090048
1,0,48,13,17.479
1,0,45,12,9.56
1,1,31,12,8.274953
1,0,43,17,27.34999
1,0,59,12,16
1,0,32,12,16.99998
1,1,31,17,15.10006
1,0,42,12,15.69998
1,0,50,11,5.11896
1,0,59,16,16.75001
1,0,36,13,13.59993
1,0,51,12,17.10005
1,0,45,16,16.73405
1,0,42,11,14.19698
1,0,46,12,10.31999
1,0,46,10,11.3841
1,0,51,14,14.59408
1,0,30,17,17.50044
1,1,30,12,15.51
1,0,57,12,21.99998
1,1,31,16,22.5
1,0,48,12,19.994
1,0,30,12,14.13
1,0,34,12,5.000013
1,0,48,16,21.1549
1,0,45,12,7.141946
1,0,51,12,16.65007
1,0,30,12,6.352
1,0,46,12,27.31395
1,0,58,12,14.5
1,0,37,12,16.25799
1,0,52,8,9.5
1,0,52,10,7.999956
1,0,31,16,12.50003
1,0,55,14,14.00003
1,0,34,17,20.80007
1,0,55,14,19.38511
1,0,39,12,12.38699
1,0,40,14,28.5
1,0,43,12,15.04991
1,0,48,8,10.49998
1,0,47,12,11.81
1,0,41,12,6.950073
1,0,36,8,12.41997
1,0,46,17,17.4
1,0,34,12,15.5
1,0,41,12,21.21704
1,0,51,12,18
1,0,33,12,11.89992
1,0,52,12,26.75196
1,0,58,9,12.14996
1,2,34,10,10.19999
1,0,31,12,8.120015
1,0,48,12,10.65996
1,0,32,12,18.10001
1,0,49,17,8.599986
1,2,32,15,13.665
1,0,58,12,32.34996
1,0,50,6,12.08501
1,0,60,14,12.15
1,0,50,12,17.69502
1,0,56,14,24.7
1,0,51,9,2.133992
1,0,54,17,20.95005
1,0,59,13,10.50008
1,0,46,9,10.55
1,0,46,15,45.75
1,1,39,12,13.63204
1,0,44,12,18.23894
1,2,33,12,17.09
1,1,33,12,30.2349
1,0,48,12,28.7
1,0,31,12,19.63
1,0,45,12,12.82494
1,0,45,12,23.8
1,0,32,13,26.30003
1,0,47,12,20.69991
1,0,34,13,26
1,0,37,12,10.87702
1,0,36,12,25.61206
1,1,47,12,20.98899
1,0,48,16,70.74993
1,0,42,12,17.05
1,0,33,13,21
1,0,46,11,8.12
1,0,47,12,20.88599
1,0,44,12,17.66892
1,0,36,12,25.20003
1,2,31,17,14.24501
1,0,55,14,14.3
1,0,45,16,23.70001
1,0,47,17,46
1,0,46,12,42.9999
1,0,49,11,14.749
1,0,49,12,16.15005
1,0,45,12,17.774
1,1,38,17,91
1,0,47,10,22.29993
1,0,54,13,34.60001
1,0,41,11,9.620002
1,0,43,12,10.89995
1,1,31,16,14.49994
1,0,47,17,22.00002
1,0,35,12,17.90008
1,0,45,16,23.67506
1,1,33,12,11.79996
1,0,54,16,16.14195
1,0,35,8,18.39997
1,1,31,12,15.49995
1,0,55,12,17.324
1,0,34,12,19.205
1,0,38,13,21.30006
1,0,45,11,23.56
1,0,47,12,20.85
1,0,39,12,26.15
1,1,36,14,17
1,1,33,12,20.72
1,0,50,12,17.00009
1,0,58,12,16
1,0,49,17,19.50005
1,0,41,14,12
1,0,51,12,13.73191
1,0,53,9,27.19999
1,1,36,12,5.315
1,0,46,12,16
1,0,36,12,27.87198
1,0,53,14,40.00001
1,0,40,16,15.90003
1,0,42,17,27.49997
1,1,33,15,17.02005
1,0,43,12,22.39494
1,1,31,16,11.1
1,0,47,17,32.70001
1,0,54,17,27.79996
1,1,33,12,2.199994
1,0,43,16,19.72095
1,0,46,13,9.999988
1,0,35,12,13.19997
1,0,37,11,12.70897
1,0,37,16,27.30005
1,0,34,14,21.2
1,1,43,16,14.4
1,0,46,12,20.57596
1,0,35,9,12.49999
1,0,46,17,17.50022
1,0,46,14,44.00004
1,0,43,12,13.11895
1,0,30,12,14.00006
1,0,41,11,9.645086
1,0,54,12,17.39705
1,0,31,12,7.799889
1,0,44,10,13.13398
1,0,32,12,25.6
1,0,47,5,13.90003
1,0,46,17,19.29794
1,0,37,11,9.200016
1,0,51,12,37.99999
1,0,49,12,44
1,0,36,14,21.37202
1,0,39,11,23.66802
1,0,48,12,9
1,0,38,14,25.19995
1,0,40,12,21.22
1,1,39,10,33.96991
1,0,37,16,17.07
1,0,49,13,6.016024
1,0,33,12,17.10001
1,0,30,12,8.237
1,0,54,12,13.30008
1,0,39,11,16.00002
1,0,43,12,12.53999
1,0,31,9,18.00004
1,0,33,13,31.2
1,0,40,12,20.74991
1,0,36,12,11.09992
1,0,51,12,20.68
1,0,44,13,18.00001
1,0,42,16,32.43007
1,0,40,12,32.90003
1,1,34,16,24.10001
1,0,30,17,17.80039
1,0,54,12,20.50002
1,0,51,12,10.4999
1,0,44,9,10.43703
1,0,43,12,18.19499
1,0,34,12,12.84508
1,0,45,13,13.8
1,0,39,12,22.2
1,0,50,12,6.699941
1,0,52,12,6.250016
1,0,41,12,15.60001
1,0,59,10,3.30001
1,0,52,12,3.670978
1,0,46,16,7.789997
1,1,41,12,18.27199
1,0,33,11,10.95398
1,0,45,12,13.49999
1,1,36,10,11.20001
1,0,48,12,20.99991
1,0,47,12,25.7
1,0,45,12,8.932994
1,0,37,12,19.15998
1,0,46,16,26.58999
1,0,43,17,22.40001
1,0,42,12,20.633
1,1,34,17,28.20001
1,0,52,12,28.8
1,0,37,12,8.999997
1,0,37,12,11.39994
1,0,52,8,10.40001
1,1,30,12,19.08006
1,0,31,13,9.46604
1,0,38,12,6.50006
1,0,43,12,29.11701
1,0,49,8,19.10302
1,0,55,12,16.34997
1,0,38,17,32.02502
1,0,52,17,16.70006
1,0,48,12,4.811038
1,0,32,13,24.62601
1,0,32,12,17.40001
1,0,38,12,13.02504
1,0,46,12,19.00698
1,0,40,12,14.03
1,0,31,9,14.89991
1,0,43,10,25.00006
1,0,51,12,10.70007
1,1,30,16,24.25
1,0,52,13,39.13997
1,1,30,8,7.199973
1,0,51,16,31.811
1,0,31,13,10.00005
1,0,34,12,20.66
1,0,49,11,13.49998
1,1,35,13,25.38
1,1,53,12,18.27498
1,0,32,12,39.213
1,0,38,10,10.49994
1,0,54,12,34.857
1,0,47,17,28.502
1,0,45,15,12.99996
1,0,47,16,41.39991
1,0,59,10,14.78
1,0,32,11,15.05
1,0,45,12,29.69998
1,0,40,12,16.16502
1,0,47,14,25.20516
1,1,36,16,14.2
1,0,56,14,18.15897
1,0,41,8,28.98106
1,0,48,7,13.392
1,1,36,12,9.17502
1,0,41,12,27.03985
1,0,41,14,13.14995
1,0,36,12,16.40007
1,0,37,12,21.29999
1,0,38,12,17.20102
1,0,43,14,8.560026
1,0,54,16,6.49084
1,0,38,12,12.49997
1,1,30,12,27.00002
1,0,49,12,53.50005
1,0,45,13,52.49995
1,0,51,13,38.39998
1,0,34,10,13.89194
1,0,34,12,3.899993
1,0,41,12,34.2
1,0,49,12,19.70008
1,0,32,12,18.49995
1,0,32,14,10.99998
1,0,32,17,43.30001
1,0,47,10,18.76001
1,0,39,9,4.800096
1,0,49,12,21.5
1,0,37,12,28.03994
1,0,59,16,26
1,0,50,12,27
1,0,32,17,17.79969
1,0,46,12,17.40195
1,0,43,17,19.30999
1,0,37,11,9.99998
1,0,32,16,11.17998
1,0,39,11,18.85696
1,0,34,13,12.30002
1,0,39,11,13.67712
1,0,45,8,9.559997
1,0,50,11,24.49998
1,0,40,12,23.15
1,0,30,10,15.59088
1,0,57,17,14.42092
1,0,39,12,17.45491
1,0,53,12,9.800019
1,0,48,17,17.57446
1,0,46,14,16.555
1,0,47,12,13.29497
1,0,43,12,11.844
1,0,47,12,46.64506
1,0,47,12,14.69999
1,0,47,12,26.09008
1,0,46,12,9.9
1,0,34,9,9.048026
1,0,48,10,30.75006
1,0,30,12,8.49994
1,0,51,12,22.24999
1,0,52,12,42.91
1,0,37,12,33.3
1,0,32,12,13.8199
1,0,36,17,23.60001
1,0,35,12,13.00007
1,0,45,17,20.74994
1,0,56,12,6.3
1,0,40,10,7.788925
1,1,45,12,10.47004
1,0,32,12,12
1,0,45,12,16.97992
1,0,40,12,17.9
1,0,38,12,15.53994
1,0,49,12,9.883986
1,0,47,16,28.59995
1,0,52,13,17.66001
1,0,34,13,25.99992
1,0,44,12,13.60201
1,0,36,16,15.8
1,0,50,17,41.09999
1,0,45,12,10.77504
1,0,44,14,9.000047
1,0,57,12,24.39899
1,0,35,17,37.30009
1,0,46,12,27.99995
1,2,30,14,13.7
1,0,42,12,17.20994
1,0,34,12,14.00001
1,0,45,17,35.75502
1,1,35,16,23.5
1,0,40,16,31.99993
1,0,32,12,17.15
1,0,54,9,20.25002
1,0,38,12,5.485985
1,0,43,12,25.07504
1,0,54,16,18.21995
1,0,39,14,26
1,0,37,12,34.50007
1,0,46,12,12.4
1,0,56,11,10.78685
1,0,41,12,16.32301
1,0,45,16,30.5
1,0,44,17,51.29963
1,0,50,17,33.04997
1,0,37,14,34.75001
1,0,44,12,16.40004
1,0,32,14,19.70007
1,1,34,12,6.600003
1,0,32,10,9.020008
1,0,37,12,10.40001
1,0,44,13,14.51999
1,0,34,16,17.2
1,1,33,12,43
1,0,43,7,13.87196
1,0,35,16,-0.0290575
1,0,43,14,16.76994
1,0,34,12,7.8
1,0,36,10,14.50006
1,0,41,12,7.9
1,0,41,16,79.80001
1,0,35,10,7.17597
1,1,32,12,17.50698
1,0,30,14,20.6
1,0,43,12,18.55992
1,0,54,6,9.3
1,0,35,15,5.120008
1,0,50,12,14.50004
1,1,34,17,19.8
1,0,52,14,18.29995
1,0,35,13,33.99994
1,0,55,6,11.62794
1,0,35,16,11.80005
1,0,49,14,39.09998
1,2,38,15,18.43007
1,0,42,14,21
1,0,48,8,59
1,0,51,14,25.3
1,0,43,12,23.24899
1,0,43,12,24.92809
1,0,38,12,14.78199
1,0,44,12,18.90003
1,1,36,12,21
1,0,38,12,10.00001
1,0,47,8,29.30997
1,0,34,12,13.14003
1,1,40,17,25.08999
1,0,31,12,14.59993
1,0,46,12,1.200001
1,0,36,14,32
1,1,39,13,16.11997
1,0,36,17,26.50002
1,0,37,8,12.75006
1,0,39,12,12.9
1,1,36,11,10.69998
1,0,49,12,14.43403
1,1,45,12,23.709
1,2,32,17,15.1
1,0,36,10,18.19998
1,0,40,12,22.64106
1,0,43,13,21.64008
1,0,33,12,23.99998
1,0,30,12,16.00002
0,0,49,12,21.025
0,2,30,16,23.6
0,1,30,12,22.8
0,0,41,12,35.91
0,0,45,12,21.7
0,0,43,12,21.823
0,0,42,13,31
0,0,60,12,15.3
0,0,57,12,12.925
0,0,38,10,15.83
0,0,56,12,30.2
0,0,32,12,16.6
0,0,49,7,11
0,0,55,12,15
0,1,36,9,20.528
0,0,44,12,13.126
0,0,44,10,15.55
0,1,35,14,18.01
0,2,44,14,18.874
0,0,45,12,24.8
0,1,34,12,17.5
0,2,30,17,16.15
0,0,39,8,15.189
0,0,36,12,6
0,0,38,17,37.25
0,0,53,12,27.76
0,0,36,12,9.09
0,1,32,12,14.5
0,0,51,9,19.7
0,0,38,11,16.788
0,2,33,12,18.52
0,0,54,12,20.95
0,0,38,9,7.574
0,2,30,11,10.027
0,2,34,12,5
0,0,34,9,7.04
0,0,50,12,40.8
0,2,30,17,16.05
0,0,38,12,33.1
0,0,54,14,33.856
0,1,30,12,20.5
0,0,55,12,28.6
0,0,51,10,18.75
0,0,44,12,20.3
0,0,53,12,13.42
0,0,42,10,18.4
0,0,38,12,16.682
0,1,38,13,32.685
0,1,41,12,7.05
0,0,35,8,10.867
0,1,33,12,18.22
0,0,48,13,26.613
0,0,47,12,25
0,0,34,12,15.7
0,2,33,13,40.25
0,3,31,13,73.6
0,0,58,8,10.592
0,0,49,12,8
0,0,55,8,13.4
0,0,44,14,23.7
0,0,44,9,18.9
0,0,36,16,48.3
0,0,38,12,24.47
0,0,37,16,28.63
0,0,47,12,25.32
0,0,47,12,13.53
0,1,32,12,14.8
0,1,43,12,17.4
0,1,42,11,15.98
0,0,56,12,16.576
0,0,38,13,21.85
0,0,52,12,14.6
0,0,50,12,21.6
0,0,33,16,24
0,0,44,16,20.883
0,0,41,12,19.5
0,0,45,12,42.8
0,0,53,14,41.5
0,0,53,14,18.965
0,0,42,12,16.1
0,2,32,13,14.7
0,0,56,12,18.8
