heat pump ic,gas central ic,electric central ic,gas room ic,electric room ic,heat pump oc,gas central oc,electric central oc,gas room oc,electric room oc,choice
3586,3526,3518,5449,933,328,393,432,393,345,0
3433,3006,3149,4834,814,362,446,743,446,435,1
3746,3451,3426,5505,804,463,532,759,532,485,1
3596,3350,3247,4935,715,440,529,648,529,364,1
3250,2925,2796,4695,860,398,467,588,467,430,1
3943,3415,3582,4997,641,364,418,586,418,402,3
2703,2748,2558,4434,730,458,537,754,537,411,0
3372,3064,2995,4558,785,368,474,645,474,353,1
3403,3199,3063,4557,688,385,432,635,432,514,1
3653,3329,3236,4738,942,311,368,549,368,346,1
3218,2865,3121,4513,677,385,508,650,508,476,1
3744,3490,3723,5093,593,352,411,546,411,408,1
2937,2608,2925,4394,930,416,469,776,469,380,1
3347,3008,3034,4724,821,456,476,701,476,443,1
3510,3331,3418,4784,984,307,421,564,421,418,1
3520,3175,3220,4336,679,407,466,732,466,444,1
3115,2853,2912,4006,769,434,493,668,493,368,3
3659,3242,3383,4722,859,365,433,593,433,527,1
3199,2909,3217,4775,1061,434,510,662,510,485,1
3589,3502,3354,5775,733,363,441,509,441,350,1
3446,3232,3473,4769,834,336,484,526,484,473,0
3473,3416,3327,3971,694,420,525,690,525,333,3
3716,3410,3346,5022,637,393,492,683,492,382,1
3087,2664,2963,4208,843,380,503,573,503,454,1
4040,3953,3897,5600,917,368,444,566,444,378,0
3564,3400,3795,5383,915,422,505,770,505,437,1
3599,3221,3343,4956,575,417,418,595,418,460,1
3583,2858,2953,4563,622,374,384,691,384,443,3
4218,3879,3661,5559,580,399,479,758,479,430,1
3382,2912,3137,4371,755,403,453,664,453,421,1
3657,3413,3481,5215,611,408,519,701,519,402,4
3679,3431,3406,4651,778,353,423,678,423,317,1
3571,3733,3425,5083,739,406,465,586,465,483,1
3417,3190,3169,4579,862,432,485,582,485,344,0
4345,3954,3821,5960,958,374,434,630,434,354,1
4082,3573,3545,5225,931,440,548,691,548,456,1
3516,3682,3589,5497,833,439,472,636,472,423,1
3769,3209,3510,5047,916,393,435,659,435,501,1
3907,3418,3690,4272,710,317,398,440,398,333,1
3616,3048,3152,4503,722,380,451,623,451,419,1
3380,3159,3210,4067,716,357,399,597,399,370,1
3408,3116,3163,4855,542,365,461,609,461,461,1
3889,3560,3696,4969,849,352,439,635,439,381,1
3291,3181,3236,5076,950,483,609,752,609,441,4
3360,2987,3023,4666,747,477,518,796,518,479,1
3526,3369,3231,4866,817,399,501,732,501,457,1
3279,3076,2996,5037,649,387,446,603,446,429,1
3276,2750,2741,4449,626,475,502,735,502,396,1
4104,3968,4003,5556,905,401,525,641,525,387,0
3558,3454,3334,4973,875,421,487,594,487,466,1
3635,3300,3329,4836,820,419,475,568,475,430,1
3755,3565,3558,5406,819,426,552,682,552,468,0
3469,3009,3239,5193,833,413,482,761,482,492,1
3135,3061,3246,4812,698,428,465,715,465,336,1
3433,3094,3052,5612,838,430,443,708,443,413,1
3551,3102,3491,5678,916,399,511,619,511,442,1
4009,3860,3950,5523,907,399,499,664,499,360,1
3921,3748,3802,5147,714,373,420,679,420,435,1
3545,3366,3489,5799,843,452,581,889,581,482,1
3594,3192,3611,4341,566,338,386,614,386,364,1
3038,2708,2916,4317,801,451,507,631,507,464,1
3702,3331,3621,4568,696,404,498,725,498,439,1
3874,3659,3809,5199,768,366,478,667,478,379,3
3214,3011,3231,5189,813,415,513,628,513,356,0
3223,3168,3063,4838,694,385,442,644,442,466,1
3259,3091,3250,4817,852,361,428,595,428,335,4
4090,3708,3971,5660,1053,375,461,682,461,491,1
3505,3233,3354,5749,830,466,472,688,472,364,1
3721,3261,3448,5222,698,352,415,547,415,373,1
3030,2821,2771,4362,808,419,531,656,531,398,1
3278,2883,3119,4373,733,375,444,654,444,474,1
3283,2875,3124,4470,763,388,459,585,459,484,1
3261,2957,3117,4835,660,359,411,623,411,345,1
3897,3296,3484,5412,860,372,436,727,436,384,4
3348,3169,3314,4791,830,368,400,650,400,396,3
4115,3997,3938,6189,941,365,483,763,483,437,1
3274,3031,3394,5237,802,449,451,612,451,309,1
3232,3150,3073,5195,646,376,455,631,455,398,0
4170,3774,3792,5926,795,382,463,700,463,431,1
3889,3802,3853,5333,681,353,357,641,357,361,1
3500,3302,3181,5457,666,384,491,701,491,313,0
3797,3358,3399,5445,652,399,485,635,485,445,1
3781,3800,3721,5876,810,373,438,541,438,387,0
3456,3092,3315,4900,937,436,488,732,488,403,1
3117,2943,2696,4559,614,362,516,675,516,394,1
3414,3206,3199,4831,505,413,461,730,461,400,1
2988,2738,2939,4368,731,462,583,777,583,442,1
4119,3735,3910,5831,839,410,463,738,463,350,1
3713,3484,3591,5618,680,415,417,699,417,463,1
4301,4002,4001,5582,952,376,429,527,429,435,1
3596,3044,3162,4737,720,406,522,726,522,519,1
3866,3490,3610,5468,914,390,532,682,532,498,1
3503,3335,3421,4993,783,305,433,650,433,423,1
3937,3490,3574,5265,795,418,441,723,441,465,1
3798,3531,3541,5383,866,322,482,613,482,450,1
3738,3523,3573,5378,1009,398,470,699,470,433,1
3284,3085,3356,5083,838,408,444,739,444,467,1
3329,3170,2932,4534,594,363,484,601,484,314,0
3523,3171,3410,4815,901,419,468,640,468,335,4
3047,2817,2889,4472,673,459,545,762,545,442,1
3653,3482,3555,5454,883,426,480,617,480,414,1
3894,3955,4063,6005,890,446,500,691,500,327,1
3287,3097,2985,4655,725,363,444,575,444,381,1
3128,3013,2985,4957,805,443,511,568,511,385,1
3314,2728,2841,5273,965,392,486,621,486,399,1
3440,3276,3118,4893,965,402,540,699,540,433,0
4432,4053,4163,6202,711,310,412,517,412,422,1
3382,3354,3201,5373,612,438,499,684,499,408,1
3372,3320,3212,4488,801,383,485,646,485,367,1
3629,3341,3395,4591,770,407,479,752,479,418,3
3798,3345,3440,5449,517,374,468,749,468,348,1
3855,3253,3219,5603,933,350,449,673,449,390,1
3444,3292,3440,4744,659,382,491,716,491,437,0
3860,3686,3587,5073,624,432,507,651,507,420,3
3953,3499,3536,4834,801,389,452,597,452,354,1
4141,3987,3946,6135,703,460,511,725,511,415,1
3670,3213,3368,4883,845,424,490,715,490,471,1
3509,2939,3007,4809,937,403,512,684,512,321,1
4169,3908,3939,6107,948,350,405,560,405,372,1
3120,3127,3238,4895,704,411,493,646,493,366,1
3532,3267,3196,4975,740,400,524,824,524,456,1
2952,2634,2738,4210,820,400,453,629,453,444,1
4221,3558,3613,5407,830,358,401,580,401,455,1
3553,3433,3418,4399,760,446,496,686,496,503,1
3413,3311,3344,4909,646,387,508,592,508,415,0
3749,3701,3712,4816,803,353,421,673,421,358,1
3011,2985,3050,4857,641,417,475,762,475,386,1
3914,3510,3610,5355,703,402,463,689,463,446,1
3751,3294,3283,4887,783,382,469,637,469,439,1
3820,3552,3425,5797,617,443,620,767,620,398,1
3533,3125,3019,4094,888,390,472,629,472,392,0
2809,2333,2546,4233,770,442,505,731,505,432,1
4198,3987,3586,5836,876,399,487,602,487,487,2
3747,3510,3594,4906,867,398,495,646,495,394,1
3606,3085,3236,5781,726,430,538,654,538,358,1
3927,3676,3625,6206,787,428,473,640,473,391,1
